"","X","state","communityname","fold","population","householdsize","racepctblack","racePctWhite","racePctAsian","racePctHisp","agePct12t21","agePct12t29","agePct16t24","agePct65up","numbUrban","pctUrban","medIncome","pctWWage","pctWFarmSelf","pctWInvInc","pctWSocSec","pctWPubAsst","pctWRetire","medFamInc","perCapInc","whitePerCap","blackPerCap","indianPerCap","AsianPerCap","HispPerCap","NumUnderPov","PctPopUnderPov","PctLess9thGrade","PctNotHSGrad","PctBSorMore","PctUnemployed","PctEmploy","PctEmplManu","PctEmplProfServ6","PctOccupManu","PctOccupMgmtProf","MalePctDivorce","MalePctNevMarr","FemalePctDiv","TotalPctDiv","PersPerFam","PctFam2Par","PctKids2Par","PctYoungKids2Par","PctTeen2Par","PctWorkMomYoungKids","PctWorkMom","NumIlleg","PctIlleg","NumImmig","PctImmigRecent","PctImmigRec5","PctImmigRec8","PctImmigRec10","PctRecentImmig","PctRecImmig5","PctRecImmig8","PctRecImmig10","PctSpeakEnglOnly","PctNotSpeakEnglWell","PctLargHouseFam","PctLargHouseOccup","PersPerOccupHous","PersPerOwnOccHous","PersPerRentOccHous","PctPersOwnOccup","PctPersDenseHous","PctHousLess3BR","MedNumBR","HousVacant","PctHousOccup","PctHousOwnOcc","PctVacantBoarded","PctVacMore6Mos","MedYrHousBuilt","PctHousNoPhone","PctWOFullPlumb","OwnOccLowQuart","OwnOccMedVal","OwnOccHiQuart","RentLowQ","RentMedian","RentHighQ","MedRent","MedRentPctHousInc","MedOwnCostPctInc","MedOwnCostPctIncNoMtg","NumInShelters","NumStreet","PctForeignBorn","PctBornSameState","PctSameHouse85","PctSameCity85","PctSameState85","LandArea","PopDens","PctUsePubTrans","LemasPctOfficDrugUn","ViolentCrimesPerPop"
"174"," 208","39","VanWertcity"," 2","0.00","0.35","0.03","0.95","0.02","0.04","0.39","0.42","0.25","0.54","0.00","0.00","0.23","0.52","0.80","0.52","0.64","0.26","0.57","0.25","0.23","0.22","0.34","0.21","0.41","0.27","0.01","0.23","0.25","0.40","0.18","0.34","0.48","0.83","0.39","0.85","0.28","0.45","0.24","0.44","0.46","0.40","0.69","0.71","0.78","0.66","0.60","0.75","0.00","0.08","0.00","0.00","0.00","0.00","0.20","0.00","0.00","0.00","0.00","0.97","0.03","0.15","0.15","0.37","0.38","0.35","0.68","0.05","0.39","0.5","0.02","0.71","0.67","0.13","0.63","0.19","0.36","0.39","0.06","0.05","0.06","0.13","0.15","0.13","0.17","0.25","0.13","0.24","0.01","0.00","0.01","0.81","0.66","0.79","0.79","0.01","0.18","0.01","0.00","0.19"
"175"," 210","45","Clemsoncity"," 2","0.00","0.31","0.24","0.74","0.26","0.02","0.97","1.00","1.00","0.39","0.00","0.00","0.18","0.62","0.29","0.66","0.36","0.04","0.52","0.49","0.30","0.32","0.20","0.12","0.24","0.52","0.03","0.76","0.18","0.18","0.94","0.35","0.34","0.27","1.00","0.23","0.77","0.11","1.00","0.15","0.12","0.32","0.73","0.75","0.85","0.79","0.37","0.53","0.00","0.14","0.00","0.81","0.79","0.78","0.77","0.37","0.32","0.28","0.26","0.88","0.06","0.12","0.08","0.33","0.41","0.31","0.36","0.09","0.58","0.0","0.01","0.84","0.34","0.00","0.46","0.73","0.30","0.07","0.18","0.19","0.20","0.24","0.27","0.37","0.27","1.00","0.23","0.25","0.00","0.00","0.19","0.39","0.28","0.06","0.14","0.02","0.13","0.00","0.00","0.15"
"176"," 211","24","Hyattsvillecity"," 2","0.01","0.36","0.62","0.38","0.23","0.16","0.28","0.51","0.29","0.39","0.02","1.00","0.35","0.72","0.10","0.44","0.35","0.18","0.49","0.39","0.37","0.40","0.38","0.20","0.27","0.38","0.01","0.16","0.26","0.40","0.39","0.30","0.71","0.11","0.47","0.28","0.44","0.67","0.58","0.61","0.66","0.46","0.42","0.49","0.58","0.49","0.83","0.90","0.02","0.60","0.01","0.48","0.49","0.67","0.71","0.52","0.47","0.58","0.56","0.72","0.16","0.36","0.30","0.40","0.49","0.34","0.42","0.27","0.63","0.0","0.01","0.86","0.39","0.13","0.26","0.21","0.15","0.14","0.26","0.25","0.24","0.57","0.50","0.51","0.43","0.44","0.46","0.24","0.01","0.02","0.46","0.13","0.52","0.54","0.36","0.00","0.54","1.00","0.00","0.29"
"177"," 212","54","Viennacity"," 2","0.00","0.31","0.01","0.99","0.03","0.00","0.36","0.35","0.21","0.57","0.02","1.00","0.33","0.41","0.05","0.55","0.65","0.16","0.64","0.35","0.36","0.33","0.38","0.01","0.97","1.00","0.00","0.13","0.23","0.30","0.33","0.25","0.42","0.54","0.44","0.41","0.52","0.33","0.19","0.32","0.34","0.34","0.78","0.81","0.86","0.84","0.72","0.54","0.00","0.03","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.98","0.01","0.08","0.09","0.35","0.38","0.23","0.77","0.03","0.36","0.5","0.01","0.75","0.73","0.02","0.50","0.44","0.15","0.22","0.09","0.09","0.10","0.16","0.17","0.17","0.19","0.30","0.09","0.25","0.00","0.00","0.02","0.77","0.79","0.83","0.78","0.01","0.24","0.04","0.00","0.01"
"178"," 213","12","OaklandParkcity"," 2","0.03","0.19","0.25","0.75","0.10","0.22","0.22","0.50","0.29","0.41","0.04","1.00","0.27","0.62","0.22","0.40","0.39","0.21","0.31","0.28","0.35","0.38","0.23","0.14","0.21","0.33","0.02","0.27","0.25","0.37","0.27","0.26","0.66","0.24","0.21","0.29","0.31","0.97","0.62","0.85","0.93","0.26","0.40","0.43","0.46","0.22","0.66","0.67","0.02","0.51","0.03","0.48","0.60","0.64","0.67","0.56","0.61","0.60","0.57","0.65","0.30","0.16","0.11","0.20","0.18","0.28","0.34","0.29","0.90","0.0","0.09","0.46","0.37","0.16","0.28","0.67","0.34","0.18","0.20","0.19","0.18","0.47","0.42","0.44","0.43","0.57","0.55","0.40","0.00","0.00","0.49","0.15","0.30","0.52","0.35","0.02","0.35","0.16","0.00","0.66"
"179"," 214","34","Rutherfordborough"," 2","0.01","0.44","0.06","0.84","0.40","0.11","0.41","0.47","0.35","0.53","0.03","1.00","0.57","0.59","0.16","0.75","0.61","0.12","0.59","0.62","0.53","0.54","0.35","0.00","0.33","0.57","0.01","0.08","0.24","0.28","0.52","0.22","0.53","0.34","0.39","0.24","0.58","0.24","0.55","0.29","0.28","0.52","0.82","0.84","0.82","0.88","0.43","0.54","0.00","0.11","0.02","0.40","0.39","0.43","0.42","0.45","0.38","0.38","0.35","0.66","0.21","0.25","0.23","0.45","0.55","0.24","0.69","0.09","0.49","0.5","0.03","0.71","0.62","0.23","0.53","0.00","0.07","0.08","0.59","0.54","0.50","0.59","0.60","0.67","0.60","0.41","0.47","0.76","0.00","0.00","0.48","0.60","0.83","0.67","0.67","0.01","0.53","1.00","0.00","0.05"
"180"," 216"," 6","Lodicity"," 2","0.07","0.48","0.01","0.84","0.29","0.31","0.36","0.46","0.27","0.48","0.08","1.00","0.32","0.49","0.36","0.41","0.48","0.60","0.51","0.32","0.33","0.33","0.13","0.17","0.30","0.28","0.06","0.33","0.47","0.48","0.21","0.40","0.44","0.37","0.34","0.55","0.31","0.65","0.35","0.63","0.66","0.48","0.57","0.59","0.55","0.52","0.31","0.32","0.03","0.23","0.04","0.28","0.48","0.50","0.52","0.21","0.31","0.29","0.28","0.67","0.28","0.31","0.29","0.47","0.43","0.54","0.40","0.40","0.59","0.0","0.03","0.89","0.44","0.12","0.15","0.63","0.21","0.39","0.29","0.30","0.30","0.37","0.37","0.43","0.38","0.52","0.50","0.22","0.09","0.10","0.31","0.55","0.36","0.61","0.76","0.03","0.41","0.01","0.00","0.49"
"181"," 217","48","RoundRockcity"," 2","0.03","0.58","0.11","0.77","0.06","0.35","0.45","0.58","0.30","0.10","0.00","0.00","0.36","0.86","0.26","0.40","0.14","0.10","0.22","0.34","0.26","0.27","0.25","0.27","0.41","0.30","0.02","0.23","0.23","0.24","0.35","0.21","0.81","0.47","0.29","0.34","0.39","0.48","0.29","0.61","0.58","0.62","0.70","0.72","0.76","0.65","0.72","0.74","0.00","0.09","0.01","0.20","0.30","0.35","0.40","0.06","0.08","0.09","0.09","0.74","0.15","0.26","0.27","0.63","0.68","0.56","0.45","0.27","0.36","0.5","0.06","0.60","0.43","0.24","0.37","0.90","0.34","0.04","0.14","0.13","0.13","0.26","0.27","0.30","0.31","0.34","0.63","0.51","0.00","0.00","0.13","0.60","0.26","0.14","0.67","0.05","0.13","0.01","0.00","0.08"
"182"," 218","49","SpanishForkcity"," 2","0.00","0.86","0.00","0.98","0.01","0.04","0.59","0.56","0.33","0.29","0.00","0.00","0.29","0.61","1.00","0.36","0.53","0.19","0.62","0.27","0.12","0.11","0.00","0.42","0.03","0.23","0.01","0.19","0.10","0.24","0.19","0.40","0.50","0.68","0.30","0.72","0.21","0.21","0.26","0.25","0.23","1.00","0.87","0.89","0.82","0.81","0.32","0.34","0.00","0.04","0.00","0.22","0.45","0.52","0.44","0.02","0.03","0.03","0.03","0.96","0.04","1.00","1.00","0.94","0.96","0.77","0.72","0.27","0.30","0.5","0.00","0.90","0.70","0.42","0.62","0.50","0.21","0.07","0.11","0.10","0.09","0.18","0.18","0.18","0.21","0.15","0.49","0.24","0.00","0.00","0.03","0.88","0.70","0.86","0.84","0.02","0.12","0.05","0.00","0.04"
"183"," 219","51","Danvillecity"," 2","0.07","0.33","0.71","0.43","0.03","0.01","0.38","0.39","0.28","0.63","0.08","1.00","0.15","0.40","0.23","0.32","0.69","0.45","0.57","0.20","0.21","0.28","0.19","0.12","0.22","0.48","0.09","0.50","0.71","0.75","0.18","0.58","0.35","0.80","0.35","0.85","0.26","0.65","0.39","0.64","0.67","0.37","0.34","0.32","0.25","0.28","0.68","0.68","0.07","0.53","0.00","0.11","0.15","0.21","0.23","0.00","0.01","0.01","0.01","0.97","0.03","0.19","0.17","0.33","0.33","0.37","0.50","0.12","0.56","0.0","0.08","0.73","0.51","0.50","0.66","0.38","0.63","0.49","0.06","0.06","0.07","0.05","0.09","0.10","0.11","0.33","0.15","0.36","0.04","0.00","0.01","0.81","0.67","0.71","0.79","0.12","0.10","0.12","0.00","0.16"
"184"," 220","23","SouthPortlandcity"," 2","0.02","0.35","0.01","0.98","0.07","0.01","0.38","0.49","0.31","0.51","0.04","1.00","0.33","0.55","0.18","0.57","0.55","0.28","0.65","0.35","0.33","0.32","0.41","0.31","0.19","0.60","0.01","0.18","0.14","0.23","0.34","0.23","0.60","0.20","0.43","0.32","0.40","0.40","0.48","0.52","0.49","0.37","0.61","0.59","0.71","0.46","0.74","0.75","0.01","0.11","0.01","0.18","0.17","0.24","0.39","0.05","0.04","0.05","0.08","0.93","0.02","0.11","0.11","0.36","0.41","0.29","0.58","0.04","0.55","0.0","0.02","0.84","0.55","0.04","0.54","0.21","0.05","0.25","0.25","0.24","0.22","0.39","0.41","0.47","0.42","0.50","0.51","0.51","0.00","0.00","0.11","0.74","0.64","0.74","0.72","0.03","0.16","0.14","0.00","0.06"
"185"," 221","55","Watertowncity"," 2","0.00","0.52","0.00","0.99","0.03","0.02","0.48","0.54","0.41","0.45","0.00","0.00","0.25","0.52","0.30","0.63","0.57","0.39","0.46","0.28","0.22","0.20","0.05","0.12","0.41","0.30","0.01","0.28","0.54","0.49","0.21","0.20","0.58","0.79","0.54","0.72","0.27","0.38","0.54","0.34","0.37","0.48","0.68","0.72","0.75","0.82","0.79","0.85","0.00","0.13","0.00","0.23","0.21","0.24","0.24","0.02","0.02","0.02","0.02","0.93","0.01","0.19","0.19","0.44","0.49","0.38","0.51","0.05","0.45","0.5","0.00","0.92","0.49","0.06","0.24","0.13","0.19","0.52","0.10","0.08","0.08","0.21","0.22","0.23","0.22","0.23","0.39","0.51","0.01","0.00","0.04","0.82","0.59","0.58","0.72","0.02","0.16","0.04","0.00","0.04"
"186"," 223","42","Lancastercity"," 2","0.07","0.42","0.24","0.56","0.12","0.38","0.52","0.62","0.45","0.39","0.09","1.00","0.17","0.48","0.16","0.38","0.50","0.66","0.46","0.19","0.19","0.24","0.19","0.14","0.16","0.18","0.10","0.55","0.52","0.68","0.20","0.40","0.45","0.63","0.36","0.77","0.25","0.68","0.71","0.70","0.72","0.54","0.23","0.20","0.19","0.23","0.34","0.35","0.11","0.97","0.02","0.28","0.32","0.36","0.48","0.08","0.08","0.08","0.10","0.63","0.31","0.46","0.34","0.40","0.39","0.44","0.32","0.24","0.55","0.0","0.07","0.78","0.34","0.42","0.45","0.00","0.46","0.43","0.11","0.10","0.09","0.23","0.25","0.27","0.24","0.56","0.38","0.33","0.20","0.00","0.12","0.73","0.43","0.72","0.66","0.02","0.63","0.31","0.00","0.36"
"187"," 224","39","Amherstcity"," 2","0.00","0.48","0.00","0.98","0.04","0.04","0.42","0.38","0.26","0.49","0.02","1.00","0.43","0.54","0.04","0.68","0.50","0.18","0.70","0.42","0.35","0.33","0.10","0.00","0.51","0.37","0.00","0.11","0.21","0.35","0.25","0.28","0.42","0.62","0.50","0.45","0.42","0.29","0.27","0.27","0.29","0.48","0.85","0.82","0.81","0.78","0.56","0.61","0.00","0.04","0.00","0.04","0.03","0.19","0.16","0.01","0.01","0.04","0.03","0.93","0.03","0.17","0.19","0.50","0.53","0.30","0.86","0.03","0.26","0.5","0.00","0.94","0.83","0.09","0.52","0.44","0.10","0.00","0.17","0.16","0.15","0.23","0.23","0.22","0.22","0.14","0.16","0.10","0.00","0.00","0.10","0.77","0.81","0.89","0.87","0.02","0.12","0.01","0.00","0.05"
"188"," 225","55","FondduLaccity"," 2","0.04","0.40","0.01","0.97","0.05","0.03","0.39","0.45","0.29","0.50","0.00","0.00","0.25","0.53","0.19","0.62","0.58","0.33","0.45","0.27","0.25","0.24","0.10","0.27","0.11","0.29","0.03","0.24","0.36","0.37","0.21","0.29","0.51","0.62","0.41","0.59","0.29","0.41","0.37","0.39","0.41","0.47","0.66","0.72","0.65","0.67","0.61","0.64","0.01","0.13","0.00","0.25","0.18","0.19","0.20","0.03","0.02","0.02","0.02","0.93","0.03","0.23","0.20","0.40","0.49","0.25","0.61","0.06","0.47","0.5","0.03","0.88","0.55","0.11","0.49","0.29","0.13","0.20","0.09","0.08","0.08","0.21","0.24","0.25","0.23","0.41","0.35","0.39","0.00","0.00","0.04","0.91","0.61","0.79","0.85","0.03","0.25","0.04","0.00","0.16"
"189"," 226"," 1","Sheffieldcity"," 2","0.00","0.31","0.46","0.63","0.01","0.00","0.37","0.41","0.29","0.68","0.02","1.00","0.14","0.35","0.26","0.26","0.71","0.54","0.61","0.19","0.19","0.22","0.17","0.20","0.34","0.40","0.02","0.55","0.52","0.60","0.20","0.48","0.31","0.50","0.39","0.68","0.28","0.56","0.29","0.53","0.57","0.38","0.44","0.39","0.54","0.37","0.51","0.54","0.01","0.50","0.00","1.00","0.98","0.95","0.81","0.06","0.04","0.03","0.03","0.98","0.03","0.21","0.19","0.34","0.30","0.43","0.56","0.10","0.48","0.5","0.02","0.67","0.59","0.18","0.58","0.31","0.52","0.27","0.06","0.05","0.07","0.00","0.06","0.06","0.09","0.57","0.21","0.42","0.00","0.00","0.01","0.81","0.74","0.82","0.84","0.02","0.13","0.01","0.00","0.10"
"190"," 227","48","Pariscity"," 2","0.02","0.37","0.43","0.63","0.03","0.02","0.43","0.44","0.33","0.65","0.00","0.00","0.12","0.24","0.48","0.27","0.70","0.59","0.50","0.14","0.17","0.20","0.15","0.18","0.12","0.38","0.05","0.68","0.52","0.61","0.22","0.56","0.24","0.51","0.52","0.62","0.32","0.64","0.32","0.60","0.65","0.42","0.43","0.40","0.45","0.56","0.49","0.53","0.02","0.40","0.00","0.81","0.94","0.99","0.95","0.08","0.08","0.07","0.07","0.96","0.03","0.21","0.18","0.36","0.30","0.47","0.46","0.17","0.55","0.0","0.07","0.48","0.50","0.85","0.64","0.54","0.70","0.42","0.03","0.03","0.05","0.12","0.17","0.17","0.18","0.69","0.19","0.56","0.00","0.00","0.04","0.82","0.60","0.73","0.82","0.08","0.08","0.00","0.00","0.74"
"191"," 228","44","Pawtucketcity"," 2","0.10","0.33","0.07","0.84","0.04","0.13","0.34","0.49","0.30","0.54","0.11","1.00","0.25","0.49","0.13","0.41","0.57","0.42","0.46","0.29","0.26","0.27","0.22","0.16","0.18","0.30","0.07","0.27","0.57","0.68","0.19","0.52","0.53","0.81","0.27","0.73","0.24","0.51","0.48","0.51","0.53","0.44","0.51","0.54","0.55","0.56","0.62","0.71","0.04","0.29","0.09","0.28","0.35","0.39","0.42","0.34","0.39","0.39","0.38","0.51","0.48","0.20","0.17","0.36","0.46","0.32","0.35","0.13","0.64","0.0","0.10","0.77","0.32","0.27","0.47","0.04","0.30","0.44","0.28","0.26","0.23","0.25","0.31","0.34","0.30","0.46","0.54","0.60","0.00","0.00","0.53","0.65","0.65","0.84","0.69","0.02","0.70","0.18","1.00","0.19"
"192"," 229","45","Newberrytown"," 2","0.00","0.45","0.81","0.35","0.03","0.01","0.58","0.54","0.45","0.60","0.00","0.00","0.12","0.32","0.08","0.25","0.68","0.60","0.42","0.16","0.14","0.23","0.14","0.00","0.25","0.58","0.02","0.67","0.64","0.69","0.22","0.61","0.28","0.70","0.43","0.82","0.28","0.41","0.63","0.47","0.47","0.50","0.18","0.22","0.19","0.33","0.86","0.74","0.02","0.87","0.00","0.43","0.31","0.26","0.81","0.02","0.01","0.01","0.02","0.97","0.01","0.32","0.28","0.40","0.32","0.52","0.48","0.22","0.54","0.5","0.01","0.73","0.54","0.28","0.82","0.46","0.97","0.44","0.06","0.06","0.08","0.03","0.09","0.09","0.11","0.47","0.34","0.65","0.00","0.00","0.01","0.87","0.59","0.74","0.79","0.02","0.14","0.00","0.00","0.63"
"193"," 231","19","FortMadisoncity"," 2","0.00","0.38","0.09","0.88","0.02","0.09","0.34","0.40","0.23","0.57","0.00","0.00","0.17","0.33","0.46","0.45","0.64","0.35","0.49","0.21","0.20","0.19","0.23","0.23","1.00","0.39","0.01","0.33","0.33","0.35","0.17","0.48","0.29","0.73","0.29","0.75","0.25","0.65","0.39","0.50","0.58","0.36","0.54","0.58","0.56","0.49","0.71","0.66","0.00","0.16","0.00","0.18","0.13","0.11","0.09","0.01","0.01","0.01","0.00","0.94","0.05","0.13","0.12","0.31","0.34","0.25","0.67","0.04","0.58","0.0","0.03","0.49","0.64","0.30","0.73","0.02","0.41","0.59","0.03","0.02","0.02","0.10","0.11","0.10","0.12","0.52","0.29","0.50","0.00","0.00","0.03","0.71","0.60","0.77","0.79","0.02","0.10","0.02","0.00","0.04"
"194"," 232","42","Logantownship"," 2","0.00","0.50","0.02","0.98","0.02","0.00","0.53","0.44","0.35","0.48","0.01","0.68","0.23","0.45","0.12","0.48","0.62","0.28","0.52","0.24","0.22","0.21","0.04","0.09","0.02","0.18","0.01","0.19","0.29","0.39","0.14","0.38","0.34","0.30","0.44","0.53","0.26","0.36","0.34","0.27","0.32","0.43","0.76","0.76","0.71","0.77","0.57","0.43","0.00","0.09","0.00","0.00","0.06","0.05","0.24","0.00","0.01","0.00","0.02","0.97","0.01","0.16","0.17","0.46","0.47","0.35","0.84","0.04","0.37","0.5","0.01","0.76","0.82","0.31","0.68","0.46","0.06","0.35","0.06","0.07","0.08","0.16","0.19","0.22","0.20","0.27","0.14","0.42","0.00","0.00","0.03","0.97","0.81","0.84","0.85","0.13","0.02","0.01","0.00","0.06"
"195"," 233","53","Wenatcheecity"," 2","0.02","0.32","0.00","0.88","0.06","0.16","0.36","0.40","0.26","0.57","0.00","0.00","0.18","0.38","0.78","0.46","0.63","0.46","0.50","0.23","0.24","0.25","0.46","0.13","0.21","0.18","0.04","0.50","0.34","0.43","0.26","0.61","0.38","0.17","0.44","0.45","0.38","0.61","0.34","0.66","0.67","0.39","0.52","0.55","0.54","0.61","0.52","0.60","0.01","0.13","0.01","0.29","0.48","0.44","0.55","0.13","0.19","0.15","0.18","0.83","0.19","0.24","0.20","0.32","0.36","0.31","0.46","0.19","0.60","0.0","0.02","0.82","0.45","0.26","0.35","0.40","0.32","0.31","0.13","0.12","0.12","0.20","0.24","0.26","0.20","0.58","0.28","0.12","0.03","0.01","0.18","0.52","0.41","0.57","0.73","0.02","0.30","0.01","0.00","0.20"
"196"," 234"," 9","NewHaventown"," 2","0.19","0.44","0.70","0.29","0.15","0.24","0.55","0.69","0.54","0.38","0.21","1.00","0.23","0.44","0.16","0.41","0.46","0.71","0.35","0.26","0.27","0.36","0.25","0.13","0.27","0.26","0.23","0.56","0.41","0.50","0.43","0.62","0.39","0.36","0.80","0.40","0.48","0.54","0.90","0.58","0.59","0.51","0.05","0.05","0.15","0.00","0.29","0.29","0.30","1.00","0.07","0.56","0.54","0.55","0.56","0.32","0.27","0.25","0.23","0.65","0.25","0.38","0.27","0.35","0.45","0.37","0.13","0.22","0.76","0.0","0.27","0.62","0.14","0.78","0.40","0.08","0.45","0.28","0.34","0.36","0.37","0.35","0.44","0.50","0.46","0.70","0.59","0.67","0.79","0.04","0.24","0.53","0.44","0.63","0.47","0.05","0.58","0.53","0.32","0.88"
"197"," 236","48","Enniscity"," 2","0.01","0.62","0.35","0.50","0.01","0.39","0.45","0.49","0.30","0.42","0.00","0.00","0.23","0.49","0.45","0.28","0.56","0.40","0.32","0.23","0.18","0.24","0.14","0.68","0.19","0.23","0.02","0.43","0.64","0.68","0.16","0.42","0.46","0.68","0.26","0.76","0.21","0.47","0.32","0.43","0.46","0.69","0.61","0.55","0.71","0.52","0.54","0.62","0.01","0.26","0.01","0.27","0.28","0.57","0.72","0.13","0.11","0.21","0.25","0.62","0.27","0.51","0.49","0.64","0.59","0.70","0.54","0.40","0.48","0.5","0.02","0.66","0.57","0.20","0.56","0.54","0.92","0.40","0.07","0.08","0.09","0.17","0.22","0.26","0.29","0.49","0.29","0.51","0.00","0.00","0.20","0.87","0.60","0.77","0.88","0.05","0.07","0.00","0.00","0.11"
"198"," 237"," 6","Marinacity"," 2","0.03","0.80","0.37","0.29","1.00","0.20","0.51","0.76","0.54","0.10","0.04","1.00","0.29","0.85","0.18","0.29","0.13","0.32","0.48","0.22","0.21","0.25","0.27","0.11","0.22","0.30","0.02","0.25","0.20","0.26","0.26","0.17","0.79","0.12","0.33","0.26","0.28","0.33","0.29","0.46","0.40","0.62","0.73","0.74","0.83","0.64","0.31","0.41","0.01","0.14","0.03","0.29","0.32","0.42","0.52","0.37","0.36","0.44","0.49","0.51","0.28","0.39","0.42","0.71","0.53","0.81","0.09","0.55","0.62","0.0","0.02","0.85","0.17","0.04","0.00","0.77","0.10","0.14","0.48","0.44","0.39","0.63","0.59","0.62","0.59","0.80","0.58","0.31","0.00","0.00","0.54","0.17","0.11","0.03","0.00","0.02","0.25","0.11","0.00","0.27"
"199"," 238","55","Caledoniatown"," 2","0.02","0.61","0.03","0.96","0.05","0.04","0.44","0.43","0.28","0.26","0.03","0.75","0.52","0.75","0.45","0.70","0.38","0.10","0.46","0.46","0.39","0.38","0.35","0.28","0.31","0.33","0.01","0.08","0.19","0.29","0.33","0.24","0.67","0.81","0.25","0.50","0.40","0.24","0.34","0.22","0.23","0.58","0.88","0.87","0.87","0.84","0.52","0.61","0.00","0.09","0.00","0.20","0.15","0.12","0.23","0.04","0.03","0.02","0.04","0.92","0.02","0.19","0.22","0.64","0.68","0.33","0.86","0.07","0.22","0.5","0.01","0.92","0.82","0.08","0.25","0.60","0.06","0.15","0.16","0.15","0.16","0.35","0.32","0.34","0.32","0.15","0.37","0.19","0.00","0.00","0.09","0.78","0.76","0.78","0.79","0.13","0.04","0.04","0.00","0.02"
"200"," 239","25","Westfieldcity"," 2","0.05","0.51","0.02","0.95","0.05","0.07","0.53","0.54","0.45","0.44","0.06","1.00","0.36","0.52","0.27","0.54","0.54","0.39","0.57","0.39","0.31","0.30","0.25","0.11","0.22","0.25","0.03","0.20","0.27","0.36","0.30","0.30","0.52","0.60","0.40","0.45","0.39","0.34","0.51","0.37","0.37","0.47","0.64","0.68","0.64","0.63","0.43","0.53","0.01","0.19","0.01","0.48","0.39","0.37","0.33","0.14","0.10","0.09","0.07","0.82","0.11","0.16","0.16","0.46","0.52","0.35","0.62","0.06","0.49","0.5","0.03","0.84","0.59","0.07","0.41","0.40","0.11","0.18","0.34","0.33","0.32","0.35","0.40","0.43","0.42","0.56","0.44","0.51","0.02","0.00","0.12","0.78","0.67","0.80","0.80","0.13","0.07","0.06","0.00","0.37"
"201"," 241","25","Andovertown"," 2","0.03","0.52","0.02","0.93","0.23","0.03","0.41","0.38","0.25","0.33","0.04","0.83","0.81","0.65","0.20","0.77","0.37","0.16","0.45","0.84","0.73","0.71","0.78","0.54","0.53","0.70","0.01","0.06","0.10","0.12","0.86","0.21","0.61","0.48","0.71","0.10","0.96","0.16","0.36","0.23","0.21","0.58","0.87","0.90","0.88","0.80","0.35","0.47","0.00","0.08","0.01","0.30","0.29","0.31","0.37","0.15","0.13","0.12","0.13","0.85","0.07","0.21","0.22","0.57","0.68","0.20","0.79","0.02","0.27","0.5","0.02","0.84","0.71","0.06","0.29","0.46","0.03","0.18","0.66","0.69","0.72","0.39","0.57","0.75","0.58","0.49","0.50","0.53","0.00","0.00","0.21","0.66","0.83","0.69","0.74","0.09","0.08","0.15","0.00","0.04"
"202"," 242","42","Lebanoncity"," 2","0.02","0.29","0.03","0.92","0.06","0.13","0.36","0.46","0.29","0.60","0.00","0.00","0.17","0.38","0.15","0.41","0.63","0.49","0.61","0.19","0.21","0.21","0.18","0.20","0.15","0.17","0.03","0.38","0.40","0.65","0.11","0.27","0.47","0.70","0.37","0.84","0.17","0.65","0.48","0.63","0.66","0.38","0.39","0.43","0.33","0.51","0.57","0.65","0.02","0.31","0.00","0.53","0.43","0.39","0.39","0.09","0.06","0.05","0.05","0.84","0.15","0.18","0.15","0.31","0.37","0.29","0.43","0.08","0.52","0.5","0.03","0.83","0.41","0.29","0.47","0.00","0.31","0.58","0.07","0.06","0.07","0.15","0.18","0.19","0.15","0.34","0.31","0.35","0.00","0.00","0.07","0.91","0.62","0.84","0.80","0.01","0.49","0.06","0.00","0.12"
"203"," 244"," 6","ElMontecity"," 2","0.15","1.00","0.02","0.42","0.72","1.00","0.60","0.72","0.50","0.17","0.17","1.00","0.27","0.66","0.14","0.15","0.28","0.75","0.26","0.21","0.10","0.10","0.22","0.15","0.22","0.23","0.21","0.60","1.00","1.00","0.07","0.63","0.43","0.82","0.10","1.00","0.10","0.35","0.72","0.49","0.43","1.00","0.51","0.43","0.53","0.52","0.21","0.06","0.17","0.75","0.34","0.51","0.58","0.63","0.70","1.00","1.00","1.00","1.00","0.00","1.00","1.00","1.00","1.00","0.95","1.00","0.15","1.00","0.84","0.0","0.05","0.87","0.25","0.34","0.35","0.48","0.51","0.76","0.42","0.44","0.42","0.53","0.51","0.56","0.50","0.70","0.80","0.22","0.17","0.35","1.00","0.36","0.43","0.73","0.58","0.03","0.94","0.36","1.00","0.54"
"204"," 245","39","Xeniacity"," 2","0.02","0.48","0.27","0.78","0.03","0.01","0.45","0.49","0.31","0.36","0.00","0.00","0.23","0.49","0.17","0.37","0.42","0.52","0.58","0.25","0.20","0.20","0.20","0.07","0.44","0.16","0.03","0.40","0.25","0.43","0.17","0.48","0.40","0.53","0.46","0.59","0.26","0.56","0.31","0.62","0.62","0.52","0.54","0.54","0.64","0.43","0.41","0.43","0.01","0.21","0.00","0.22","0.20","0.19","0.30","0.02","0.01","0.01","0.02","0.97","0.01","0.26","0.25","0.49","0.49","0.49","0.56","0.10","0.35","0.5","0.01","0.91","0.57","0.19","0.43","0.48","0.36","0.11","0.10","0.08","0.07","0.16","0.22","0.23","0.25","0.56","0.22","0.24","0.01","0.00","0.03","0.80","0.54","0.76","0.80","0.02","0.23","0.02","0.00","0.18"
